Search results:
    jqueryui-selectmenu git://github.com/pixeldrew/jqueryui-selectmenu.git
    buster-jquery-assertions git://github.com/blittle/buster-jquery-assertions.git
    jquery-allAttributes git://github.com/ngs/jquery-allAttributes.git
    jquery.socialshareprivacy git://github.com/patrickheck/socialshareprivacy.git
    jquery.center.js git://github.com/bebraw/jquery.center.js
    jquery.formstyler git://github.com/Dimox/formStyler.git
    jquery-impromptu git://github.com/trentrichardson/jQuery-Impromptu.git
    jquery.videoBG git://github.com/sydlawrence/jquery.videoBG.git
    jquery-local-storage git://github.com/bradberger/jquery-local-storage.git
    jquery-dropkick git://github.com/JamieLottering/DropKick.git
    jquery.mosaicflow git://github.com/sapegin/jquery.mosaicflow
    rxjs-jquery git://github.com/Reactive-Extensions/rxjs-jquery
    jquery-once git://github.com/RobLoach/jquery-once.git
    jquery-toggles git://github.com/simontabor/jquery-toggles.git
    jquery.backgroundSize git://github.com/louisremi/jquery.backgroundSize.js.git
    jquery.query.js git://github.com/plasticine/jquery.query.js.git
    jquery.avgrund git://github.com/voronianski/jquery.avgrund.js.git
    jquery.fileDownload git://github.com/maxmert/jquery.fileDownload
    jquery.terminal git://github.com/jcubic/jquery.terminal.git
    jquery-marcopolo git://github.com/jstayton/jquery-marcopolo
    jquery-timepicker-addon git://github.com/iamdenny/jQuery-Timepicker-Addon.git
    jquery-icbiacontrol git://github.com/matthewwithanm/jquery-icbiacontrol.git
    jquery.customInput git://github.com/bmatzner/jQuery-Custom-Input.git
    jquery-reveal git://github.com/VitalikL/reveal.git
    jquery-qrcode git://github.com/gcusnieux/jquery-qrcode.git
    jquery-transition git://github.com/peteboere/jquery-transition.git
    jquery-maskmoney git://github.com/plentz/jquery-maskmoney
    jquery.BlackAndWhite git://github.com/GianlucaGuarini/jQuery.BlackAndWhite.git
    jquery.metadata git://github.com/jquery-orphans/jquery-metadata.git
    jquery-localize git://github.com/davidchambers/jQuery.localize.git
    jquery.pep git://github.com/briangonzalez/jquery.pep.js.git
    bolster.jquerypp git://github.com/bolster/jquerypp.git
    jquery.herotabs git://github.com/simonsmith/jquery.herotabs.git
    paul-irish-jquery-unique-duck-punching git://github.com/gnutix/paul-irish-jquery-unique-function-duck-punching.git
    jquery-messages git://github.com/yola/jquery-messages.git
    brandon-aaron-jquery-outerhtml-function git://github.com/brandonaaron/jquery-outerhtml.git
    iframe-auto-height-jquery-plugin git://github.com/Sly777/Iframe-Height-Jquery-Plugin
    jquery.rdio git://github.com/rdio/jquery.rdio.js.git
    jquery-highlight git://github.com/knownasilya/jquery-highlight
    jquery-rdfquery git://github.com/components/jquery-rdfquery.git
    jquery.qrcode git://github.com/lrsjng/jQuery.qrcode.git
    zepto-replace-jquery git://github.com/iki/zepto-replace-jquery.git
    jquery.ajax.fake git://github.com/anasnakawa/jquery.ajax.fake.git
    jquery-selectBox git://github.com/marcj/jquery-selectBox.git
    jquery-popunder git://github.com/hpbuniat/jquery-popunder.git
    jquery-leanmodal git://github.com/FinelySliced/leanModal.js.git
    jquery-browser-detection git://github.com/schickling/jquery-browser-detection
    jquery.minlight git://github.com/timmywil/jquery.minlight.git
    jquery-grab-bag git://github.com/panayi/jquery-grab-bag.git
    jquery.extendedinput.js git://github.com/Wolfr/jquery.extendedinput.git
    jquery-textrange git://github.com/dwieeb/jquery-textrange.git
    jquery-visibility git://github.com/mathiasbynens/jquery-visibility.git
    jquery-imagefit-plugin git://github.com/cbulock/jquery-imagefit-plugin.git
    inline-svg.jquery.js git://github.com/jswinarton/inline-svg.jquery.js.git
    jquery.couch git://github.com/vkurchatkin/jquery.couch
    jskit-jquery git://github.com/kctang/jskit-jquery.git
    jquery-dropkick2 git://github.com/changalberto/DropKick
    jquery.finger git://github.com/ngryman/jquery.finger
    jquery.superscrollorama git://github.com/johnpolacek/superscrollorama
    jquery-ui-touch-punch-dynamic git://github.com/wmill/jquery-ui-touch-punch.git
    jquery.autocomplete git://github.com/julien-c/jQueryAutocompletePlugin.git
    bacon-jquery-bindings git://github.com/raimohanska/bacon-jquery-bindings
    jquery-textext git://github.com/alexgorbatchev/jquery-textext.git
    jquery-total-storage git://github.com/jarednova/jquery-total-storage.git
    jquery-ui-touch-punch-working git://github.com/yeco/jquery-ui-touch-punch.git
    jquery-relativeTime git://github.com/hiromitz/jquery-relativeTime.git
    jquery-simple-touch git://github.com/marcol/jquery-touch.git
    jquery.taboverride git://github.com/wjbryant/jquery.taboverride
    jquery.shapeshift git://github.com/McPants/jquery.shapeshift.git
    jquery.TubePlayer git://github.com/nirvanatikku/jQuery-TubePlayer-Plugin.git
    jquery.loadmask.spin git://github.com/iloveitaly/jquery.loadmask.spin.git
    jquery.retina git://github.com/iloveitaly/jQuery-Retina-Display-Plugin.git
    ember-auth-request-jquery git://github.com/heartsentwined/ember-auth-request-jquery.git
    jquery-fittext git://github.com/DevOctopus/FitText.js.git
    jquery-tiptip git://github.com/drewwilson/TipTip.git
    jquery-zeroclipboard git://github.com/balsamiq/jquery-zeroclipboard.git
    jquery.mobilemenu git://github.com/mattkersley/Responsive-Menu.git
    jquery-stylesheet git://github.com/f0r4y312/jquery-stylesheet.git
    jquery-mobile-reset git://github.com/bhurlow/jqmobile-reset.git
    jquery-ui.daterange git://github.com/layerssss/jquery-ui.daterange.git
    jqueryui-timepicker-addon git://github.com/trentrichardson/jQuery-Timepicker-Addon.git
    jquery.ui.global-datepicker git://github.com/hogata/jquery.ui.global-datepicker
    jquery-async git://github.com/panayi/jquery-async.git
    jquery.pulsate git://github.com/Kilian/jQuery.pulsate.git
    jquery-boilerplate git://github.com/jquery-boilerplate/jquery-boilerplate
    jquery-csspick git://github.com/oscarlgz/jquery-csspick.git
    stacknav.jquery.js git://github.com/EtienneDion/stacknav.jquery.js.git
    quicksandpaginated.jquery.js git://github.com/EtienneDion/quicksandpaginated.jquery.js.git
    jquery.gritter git://github.com/jboesch/Gritter.git
    jquery-html5-placeholder-shim git://github.com/parndt/jquery-html5-placeholder-shim.git
    jquery.textareaAutogrow git://github.com/Fleshgrinder/jquery.textareaAutogrow.git
    jquery-dragEvents git://github.com/icholy/dragEvents.jq.js.git
    jquery.iconfield git://github.com/yotamofek/jquery.iconfield.git
    jquery-scrollspy git://github.com/sxalexander/jquery-scrollspy.git
    jqueryui-touch-punch-improved git://github.com/Bantam/jquery-ui-touch-punch-improved.git
    jquery-flexigrid git://github.com/iamdenny/Flexigrid.git
    jquery-indexeddb git://github.com/axemclion/jquery-indexeddb.git
    jquery-i18n git://github.com/recurser/jquery-i18n.git
    jquery.neotabs.js git://github.com/PascalPrecht/jquery.neotabs.js
    jquery.tube git://github.com/inukshuk/jquery.tube.js.git
    jquery-tags-input git://github.com/xoxco/jQuery-Tags-Input.git
    jquery-joyride git://github.com/zurb/joyride.git
    jquery.slideShow git://github.com/appleboy/jquery.slideShow.git
    jquery.fullscreenBackground git://github.com/Gaya/Fullscreen-Background-jQuery-plugin.git
    jquery-switchbox git://github.com/Padam87/jquery-switchbox.git
    jquery.fileapi git://github.com/RubaXa/jquery.fileapi.git
    jquery-sieve git://github.com/rmm5t/jquery-sieve.git
    jquery.ut-image-panel git://github.com/urturn/jquery.ut-image-panel.git
    jquery-tinytimer git://github.com/odyniec/jQuery-tinyTimer.git
    jquery.theCombo.js git://github.com/lagden/theCombo.git
    jquery-filterer git://github.com/joelcox/jquery-filterer.git
    jquery-simplecolorpicker git://github.com/tkrotoff/jquery-simplecolorpicker.git
    jquery-dotimeout git://github.com/cowboy/jquery-dotimeout.git
    jquery.trueresize git://github.com/jfroffice/jquery.trueresize.git
    jquery-keyfilter git://github.com/akzhan/jquery-keyfilter.git
    jquery.fracs git://github.com/lrsjng/jQuery.fracs.git
    jquery-manifest git://github.com/jstayton/jquery-manifest
    jquery-slider git://github.com/7LI/jQuery-slider.git
    jquery.three git://github.com/makesites/jquery-three.git
    jquery-nested git://github.com/distracteddev/Nested.git
    jquery.loadfeed git://github.com/choage/jQuery.loadFeed.git
    distrib-jquery-ui git://github.com/henrytrager/distrib-jquery-ui.git
    jquery.treeview git://github.com/galileo-press/jquery-treeview.git
    jquery-ajax-progress git://github.com/englercj/jquery-ajax-progress.git
    jquery.mousestop git://github.com/galileo-press/jquery-mousestop-event.git
    jquery-queue git://github.com/joeybaker/jquery-queue.git
    easyfacebook.jquery.js git://github.com/EtienneDion/easyfacebook.jquery.js.git
    jquery.rest git://github.com/jpillora/jquery.rest/
    jquery.tocify.js git://github.com/gfranko/jquery.tocify.js.git
    jquery.masonry git://github.com/tysoncadenhead/masonry.git
    jquery.hoverIntent git://github.com/LeMisterV/jquery.hoverintent.git
    jquery.rule git://github.com/flesler/jquery.rule
    jquery.formatDateTime git://github.com/agschwender/jquery.formatDateTime.git
    jquery.toc git://github.com/ndabas/toc
    jquery.tinynav git://github.com/sch/TinyNav.js.git
    jquery.onepage-scroll git://github.com/polem/onepage-scroll.git
    jquery.decodeEntities git://github.com/michael-lawrence/jquery.decodeEntities.git
    jquery.onescroll git://github.com/kahwee/onescroll.git
    jquery-accessible-tabs git://github.com/ginader/Accessible-Tabs.git
    jquery-hidden-height git://github.com/schickling/jquery-hidden-height
